loc,총인구수,조출생률,구간별_데이터_개수
1100000000.0,9668465.0,4.970282253,190
1111000000.0,149384.0,3.601456649,194
1111051500.0,12431.0,7.803072963,41
1111053000.0,9526.0,2.939323955,176
1111054000.0,2640.0,3.409090909,196
1111055000.0,10022.0,2.294951108,145
1111056000.0,18391.0,4.186830515,199
1111057000.0,8546.0,4.563538498,213
1111058000.0,10477.0,7.253984919,51
1111060000.0,4325.0,1.61849711,140
1111061500.0,7256.0,1.929437707,159
1111063000.0,5242.0,1.716901946,140
1111064000.0,7588.0,3.294675804,196
1111065000.0,16799.0,2.381094113,160
1111067000.0,5129.0,2.339637356,160
1111068000.0,8318.0,3.366193797,196
1111069000.0,6925.0,5.198555957,156
1111070000.0,6078.0,4.606778546,167
1111071000.0,9691.0,2.992467238,176
1114000000.0,125240.0,5.629191951,158
1114052000.0,2069.0,8.216529725,45
1114054000.0,5136.0,1.947040498,159
1114055000.0,2914.0,2.402196294,160
1114057000.0,4034.0,1.983143282,159
1114058000.0,4664.0,2.572898799,160
1114059000.0,5224.0,3.062787136,176
1114060500.0,1816.0,3.854625551,215
1114061500.0,7692.0,3.640145606,194
1114062500.0,14243.0,5.055114793,190
1114063500.0,17128.0,5.838393274,118
1114064500.0,14056.0,5.976095618,118
1114065000.0,10527.0,4.844685095,167
1114066500.0,10656.0,6.287537538,82
1114067000.0,12583.0,7.311451959,51
1114068000.0,12498.0,10.72171547,11
1117000000.0,230040.0,5.107807338,190
1117051000.0,17696.0,4.52079566,213
1117052000.0,9972.0,2.9081428,176
1117053000.0,7623.0,2.09891119,145
1117055500.0,19829.0,2.975440012,176
1117056000.0,16089.0,8.825905898,19
1117057000.0,14202.0,5.633009435,158
1117058000.0,10205.0,7.545320921,35
1117059000.0,12327.0,5.597468971,158
1117062500.0,20444.0,5.771864606,118
1117063000.0,28139.0,6.148050748,82
1117064000.0,8727.0,9.969061533,19
1117065000.0,6923.0,2.31113679,160
1117066000.0,9285.0,3.015616586,176
1117068500.0,21176.0,5.336229694,156
1117069000.0,13187.0,3.867445211,215
1117070000.0,14216.0,2.602701182,170
1120000000.0,293556.0,6.727847498,78
1120052000.0,17085.0,9.013754756,22
1120053500.0,27081.0,7.569882944,35
1120054000.0,22785.0,5.134957209,190
1120055000.0,11932.0,3.352329869,196
1120056000.0,14077.0,7.174824181,55
1120057000.0,24063.0,6.73232764,78
1120058000.0,15764.0,6.153260594,82
1120059000.0,15711.0,9.292852142,16
1120061500.0,23409.0,7.817506087,41
1120062000.0,14704.0,8.297062024,45
1120064500.0,26661.0,9.714564345,17
1120065000.0,16553.0,6.76614511,78
1120066000.0,13452.0,5.129348796,190
1120067000.0,16589.0,4.521068178,213
1120069000.0,11177.0,5.099758432,190
1120072000.0,10725.0,4.009324009,215
1120079000.0,11788.0,2.799457075,170
1121500000.0,346682.0,4.459418141,213
1121571000.0,22658.0,1.544708271,140
1121573000.0,19930.0,4.164576016,199
1121574000.0,15792.0,5.952380952,118
1121575000.0,21943.0,4.283826277,199
1121576000.0,16683.0,4.375711802,213
1121577000.0,29387.0,4.900125906,190
1121578000.0,11610.0,6.373815676,65
1121581000.0,35440.0,3.9503386,215
1121582000.0,22790.0,4.080737165,199
1121583000.0,25641.0,4.602004602,213
1121584000.0,28687.0,5.542580263,158
1121584700.0,17810.0,3.481190343,194
1121585000.0,22040.0,4.038112523,199
1121586000.0,26954.0,4.674630853,167
1121587000.0,29317.0,5.525804141,158
1123000000.0,342837.0,5.008210899,190
1123053600.0,31190.0,4.135941007,199
1123054500.0,24994.0,3.960950628,215
1123056000.0,30204.0,5.330419812,156
1123057000.0,19181.0,4.32719879,213
1123060000.0,29099.0,8.488264202,23
1123061000.0,29209.0,6.710260536,78
1123065000.0,38710.0,5.347455438,156
1123066000.0,33039.0,6.628529919,78
1123070500.0,19870.0,2.767991948,170
1123071000.0,10473.0,2.769025112,170
1123072000.0,13631.0,5.502164185,158
1123073000.0,24297.0,3.45721694,194
1123074000.0,18477.0,2.273096282,145
1123075000.0,20463.0,4.447050775,213
1126000000.0,394702.0,4.788422658,167
1126052000.0,24865.0,4.343454655,213
