loc,총인구수,조출생률,지역
1100000000,9509458,4.837184201,서울특별시
1111000000,144683,3.718474181,서울특별시
1111051500,11978,4.090833194,서울특별시
1111053000,9372,4.054630815,서울특별시
1111054000,2456,3.664495114,서울특별시
1111055000,9579,3.340640985,서울특별시
1111056000,18152,3.856324372,서울특별시
1111057000,8259,6.296161763,서울특별시
1111058000,10046,7.863826399,서울특별시
1111060000,4088,4.403131115,서울특별시
1111061500,7197,2.084201751,서울특별시
1111063000,5089,1.965022598,서울특별시
1111064000,7231,2.489282257,서울특별시
1111065000,16383,2.441555271,서울특별시
1111067000,4891,3.475771826,서울특별시
1111068000,7911,1.769687777,서울특별시
1111069000,6575,4.410646388,서울특별시
1111070000,5837,3.255096796,서울특별시
1111071000,9639,3.008610852,서울특별시
1114000000,122499,5.093919134,서울특별시
1114052000,2250,6.222222222,서울특별시
1114054000,4784,3.135451505,서울특별시
1114055000,2884,3.46740638,서울특별시
1114057000,4023,4.722843649,서울특별시
1114058000,4590,3.267973856,서울특별시
1114059000,5255,3.044719315,서울특별시
1114060500,1738,3.452243959,서울특별시
1114061500,7673,2.606542421,서울특별시
1114062500,13798,3.768662125,서울특별시
1114063500,16676,4.49748141,서울특별시
1114064500,13588,6.47630262,서울특별시
1114065000,10363,5.017851973,서울특별시
1114066500,10266,4.188583674,서울특별시
1114067000,12576,7.554071247,서울특별시
1114068000,12035,8.641462401,서울특별시
1117000000,222953,5.597592318,서울특별시
1117051000,16833,4.574348007,서울특별시
1117052000,9456,3.066835871,서울특별시
1117053000,7351,1.632430962,서울특별시
1117055500,19471,3.749165426,서울특별시
1117056000,15950,8.902821317,서울특별시
1117057000,13751,6.326812595,서울특별시
1117058000,10037,9.166085484,서울특별시
1117059000,11863,7.249431004,서울특별시
1117062500,21763,7.076230299,서울특별시
1117063000,25893,6.488240065,서울특별시
1117064000,8303,7.708057329,서울특별시
1117065000,6392,4.380475594,서울특별시
1117066000,8997,3.445592975,서울특별시
1117068500,20389,5.934572564,서울특별시
1117069000,13051,4.060991495,서울특별시
1117070000,13453,2.304318739,서울특별시
1120000000,285990,6.356865625,서울특별시
1120052000,16475,7.46585736,서울특별시
1120053500,26430,6.432084752,서울특별시
1120054000,22362,5.545121188,서울특별시
1120055000,11915,3.021401595,서울특별시
1120056000,13904,5.969505178,서울특별시
1120057000,23280,6.872852234,서울특별시
1120058000,15408,6.295430945,서울특별시
1120059000,15240,7.611548556,서울특별시
1120061500,22735,8.840994062,서울특별시
1120062000,14325,8.865619546,서울특별시
